city_raw,state_abbr,adopt_by2012,mayor,pop_2003,violent_crime_2003,damage_2003,pre_label,source
"Mesa, AZ",AZ,0.0,0.0,436569.0,537.4,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Atlanta, GA",GA,0.0,1.0,431043.0,1969.6,130.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Oakland, CA",CA,0.0,1.0,407003.0,1379.1,88.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Omaha, NE",NE,0.0,1.0,401692.0,654.0,732.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Tulsa, OK",OK,0.0,1.0,393907.0,1092.6,136.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Miami-Dade County, FL (City portion)",FL,1.0,1.0,381651.0,1875.3,4125.0,adopted_by2012,O'Byrne (2015) Appendix A
"Honolulu, HI",HI,0.0,1.0,380149.0,287.9,113.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Minneapolis, MN",MN,1.0,1.0,378602.0,1193.1,267.0,adopted_by2012,O'Byrne (2015) Appendix A
"Colorado Springs, CO",CO,0.0,0.0,374818.0,462.4,100.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Wichita, KS",KS,0.0,0.0,356123.0,625.9,490.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Santa Ana, CA",CA,0.0,0.0,347016.0,515.3,278.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"St. Louis, MO",MO,0.0,1.0,340256.0,2181.9,1110.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Anaheim, CA",CA,1.0,0.0,336132.0,392.4,278.0,adopted_by2012,O'Byrne (2015) Appendix A
"Arlington, TX",TX,0.0,0.0,335385.0,524.2,222.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Pittsburgh, PA",PA,1.0,1.0,335302.0,1061.4,137.0,adopted_by2012,O'Byrne (2015) Appendix A
"Cincinnati, OH",OH,0.0,0.0,324297.0,1127.4,156.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Tampa, FL",FL,0.0,1.0,320908.0,1786.5,1784.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Raleigh, NC",NC,0.0,0.0,310157.0,646.1,134.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Toledo, OH",OH,0.0,0.0,309499.0,1028.1,87.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Aurora, CO",CO,0.0,0.0,288830.0,588.6,196.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Buffalo, NY",NY,1.0,1.0,288187.0,1361.6,107.0,adopted_by2012,O'Byrne (2015) Appendix A
"St. Paul, MN",MN,0.0,1.0,286281.0,760.8,46.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Corpus Christi, TX",TX,0.0,0.0,282850.0,870.4,122.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Newark, NJ",NJ,1.0,1.0,278551.0,980.4,29.0,adopted_by2012,O'Byrne (2015) Appendix A
"Riverside, CA",CA,1.0,0.0,277103.0,691.4,191.0,adopted_by2012,O'Byrne (2015) Appendix A
"Anchorage, AK",AK,0.0,1.0,271085.0,643.3,7.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Stockton, CA",CA,0.0,0.0,265593.0,1364.9,8.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lexington-Fayette, KY",KY,1.0,1.0,265224.0,468.3,14.0,adopted_by2012,O'Byrne (2015) Appendix A
"Bakersfield, CA",CA,0.0,0.0,263707.0,574.1,65.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"St. Petersburg, FL",FL,0.0,0.0,253095.0,1601.8,178.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Louisville, KY",KY,1.0,1.0,248762.0,795.8,198.0,adopted_by2012,O'Byrne (2015) Appendix A
"Norfolk, VA",VA,0.0,0.0,242077.0,569.7,63.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Birmingham, AL",AL,1.0,1.0,240176.0,1393.6,1562.0,adopted_by2012,O'Byrne (2015) Appendix A
"Plano, TX",TX,0.0,0.0,241793.0,293.2,32.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Jersey City, NJ",NJ,0.0,1.0,241443.0,1196.1,7.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Hialeah, FL",FL,,,,,,unclear,O'Byrne (2015) Appendix A
"Glendale, AZ",AZ,0.0,0.0,235819.0,538.5,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lincoln, NE",NE,0.0,1.0,233721.0,476.6,133.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Greensboro, NC",NC,0.0,0.0,230606.0,670.8,152.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Baton Rouge, LA",LA,1.0,1.0,226391.0,1254.0,918.0,adopted_by2012,O'Byrne (2015) Appendix A
